task_id,task_description,target_environment,ability_dimension,difficulty,target_entity_id,task_template,structure_variant,num_assertions,verifier_executed
task_0105,"In the shopping site, find the product whose category is beauty and whose product name is Circe ice fleece; then find the product whose category is home & kitchen and whose product name is 2 Hawaiian Bamboo Orchid Roots #zc50 - by Discount Hawaiian Gifts; then find the product whose category is office and whose product name is Ahi Tuna Loin 4 lbs, Tristan ULT Fresh, #1 Grade, Skinless, Boneless, and Bloodline Removed. For the product named Circe ice fleece: Add it to the cart with quantity 1. For the product named Circe ice fleece: Write a 5-star review containing ""perfect fit"". For the product named Circe ice fleece: Remove it from the cart. For the product named 2 Hawaiian Bamboo Orchid Roots #zc50 - by Discount Hawaiian Gifts: Add it to the cart with quantity 1. For the product named 2 Hawaiian Bamboo Orchid Roots #zc50 - by Discount Hawaiian Gifts: Write a 5-star review containing ""perfect fit"". For the product named 2 Hawaiian Bamboo Orchid Roots #zc50 - by Discount Hawaiian Gifts: Remove it from the cart. For the product named Ahi Tuna Loin 4 lbs, Tristan ULT Fresh, #1 Grade, Skinless, Boneless, and Bloodline Removed: Add it to the cart with quantity 1. For the product named Ahi Tuna Loin 4 lbs, Tristan ULT Fresh, #1 Grade, Skinless, Boneless, and Bloodline Removed: Write a 4-star review containing ""fast shipping"". For the product named Ahi Tuna Loin 4 lbs, Tristan ULT Fresh, #1 Grade, Skinless, Boneless, and Bloodline Removed: Remove it from the cart.",shopping,Long-horizon,L5,shopping_product_036,add_review_remove,long_horizon_L5_multi_action_chain_multi_condition,6,not_executed
task_0108,"In the forum, find the post whose post id is 30872. Add a comment containing ""great suggestion thanks"".",forum,Long-horizon,L1,forum_post_012,comment_post,long_horizon_L1_single_action_direct_ref,1,not_executed
task_0110,"In the forum, find the post whose post id is 103061. Edit the post body so it contains ""affordable options"".",forum,Long-horizon,L2,forum_post_017,edit_post,long_horizon_L2_single_action_single_condition,1,not_executed
task_0112,"In the forum, find the community whose aliases is /f/books, Books, books forum, f/books; then find the post whose post id is 10081. For the community with aliases /f/books, Books, books forum, f/books: Create a post with a title containing ""weekend hiking trails"" and a body containing ""personal experience"". For the community with aliases /f/books, Books, books forum, f/books: Add a comment containing ""I would check public transit options first"". For the post with post id 10081: Create a post with a title containing ""restaurant recommendations"" and a body containing ""open on weekends"". For the post with post id 10081: Edit the post body so it contains ""open on weekends"".",forum,Long-horizon,L3,forum_community_001,create_and_comment_post,long_horizon_L3_two_step_chain_multi_condition,4,not_executed
task_0114,"In the forum, find the community whose community name is deeplearning; then find the post whose title is public transit options. For the community called deeplearning: Create a post with a title containing ""apartment hunting tips"" and a body containing ""affordable options"". For the community called deeplearning: Add a comment containing ""adding my recommendation as well"". For the post titled public transit options: Create a post with a title containing ""restaurant recommendations"" and a body containing ""compared to last year"". For the post titled public transit options: Edit the post body so it contains ""compared to last year"".",forum,Long-horizon,L4,forum_community_003,create_and_comment_post,long_horizon_L4_two_step_chain_direct_ref,4,not_executed
task_0116,"In the forum, find the post whose post id is 10050 and whose title is best local restaurants; then find the post whose post id is 10081 and whose title is weekend hiking trails; then find the post whose title is remote work productivity and whose community is books. For the post titled best local restaurants: Create a post with a title containing ""bike commute routes"" and a body containing ""public transit"". For the post titled best local restaurants: Add a comment containing ""prices have changed since then"". For the post titled best local restaurants: Edit the post body so it contains ""public transit"". For the post titled weekend hiking trails: Create a post with a title containing ""best coffee shops"" and a body containing ""public transit"". For the post titled weekend hiking trails: Add a comment containing ""I can confirm this still works"". For the post titled weekend hiking trails: Edit the post body so it contains ""public transit"". For the post titled remote work productivity: Create a post with a title containing ""best coffee shops"" and a body containing ""any suggestions appreciated"". For the post titled remote work productivity: Add a comment containing ""this is outdated information"". For the post titled remote work productivity: Edit the post body so it contains ""any suggestions appreciated"".",forum,Long-horizon,L5,forum_post_002,create_comment_edit,long_horizon_L5_multi_action_chain_multi_condition,9,not_executed
task_0118,"In the CMS admin, find the page whose page title is about us. Create a page with a title containing ""holiday sale"" and a body containing ""updated privacy policy effective immediately"".",cms_admin,Long-horizon,L1,cms_page_003,create_page,long_horizon_L1_single_action_direct_ref,1,not_executed
task_0120,"In the CMS admin, find the page whose page title is customer testimonials. Create a page with a title containing ""loyalty rewards"" and a body containing ""international shipping restrictions apply"".",cms_admin,Long-horizon,L2,cms_page_009,create_page,long_horizon_L2_single_action_direct_ref,1,not_executed
task_0122,"In the CMS admin, find the page whose status is published and whose page title is return policy; then find the page whose status is published and whose page title is shipping information. For the page titled return policy: Create a page with a title containing ""store hours"" and a body containing ""international shipping restrictions apply"". For the page titled return policy: Publish the page. For the page titled shipping information: Edit the page body so it contains ""holiday sale terms and conditions"". For the page titled shipping information: Publish the page.",cms_admin,Long-horizon,L3,cms_page_001,create_and_publish_page,long_horizon_L3_two_step_chain_multi_condition,4,not_executed
task_0124,"In the CMS admin, find the page whose page title is contact us; then find the page whose status is published and whose page title is FAQ. For the page titled contact us: Create a page with a title containing ""warranty information"" and a body containing ""new store hours starting next month"". For the page titled contact us: Publish the page. For the page titled FAQ: Edit the page body so it contains ""loyalty program now available"". For the page titled FAQ: Publish the page.",cms_admin,Long-horizon,L4,cms_page_006,create_and_publish_page,long_horizon_L4_two_step_chain_multi_condition,4,not_executed
task_0002,"In GitLab, find the issue whose title is license compliance check. Assign the issue to byteblaze.",gitlab,Memory,L1,gitlab_issue_035,assign_issue,memory_L1_lookup_direct_ref,1,not_executed
task_0007,"In GitLab, find the issue whose state is open. Assign the issue to byteblaze.",gitlab,Memory,L2,gitlab_issue_017,assign_issue,memory_L2_lookup_single_condition,1,not_executed
task_0012,"In GitLab, find the issue whose state is closed and whose labels is help wanted. Assign the issue to ericwbailey.",gitlab,Memory,L3,gitlab_issue_028,assign_issue,memory_L3_lookup_multi_condition,1,not_executed
task_0017,"In GitLab, find the issue whose state is closed and whose labels is frontend. Assign the issue to ericwbailey.",gitlab,Memory,L4,gitlab_issue_022,assign_issue,memory_L4_tracked_locator_exclusion_condition,1,not_executed
task_0022,"In GitLab, find the issue with IID 71 and whose state is open and whose title is login redirect loop. Add a comment containing ""ready for code review"".",gitlab,Memory,L5,gitlab_issue_006,comment_issue,memory_L5_tracked_locator_exclusion_condition,1,not_executed
task_0029,"In the shopping site, find the product whose product name is Celeste Sports Bra. Write a 3-star review containing ""average performance"".",shopping,Memory,L1,shopping_product_029,write_review,memory_L1_lookup_direct_ref,1,not_executed
task_0032,"In the shopping site, find the product variant whose product name is Aeno capri. Add it to the cart with quantity 1.",shopping,Memory,L2,shopping_variant_018,add_to_cart,memory_L2_lookup_single_condition,1,not_executed
task_0035,"In the shopping site, find the product variant whose product name is Mini Wireless Bluetooth Speaker and whose material is polyester. Update the cart quantity to 2.",shopping,Memory,L3,shopping_variant_007,update_cart_quantity,memory_L3_lookup_multi_condition,1,not_executed
task_0038,"In the shopping site, find the product variant whose product name is Mini Wireless Bluetooth Speaker and whose color is purple. Update the cart quantity to 2.",shopping,Memory,L4,shopping_variant_007,update_cart_quantity,memory_L4_tracked_locator_exclusion_condition,1,not_executed
task_0043,"In the shopping site, find the product with has reviews set to true and whose price range is under_25 and whose product name is Jiffy Corn Muffin Cornbread Mix. Write a 4-star review containing ""comfortable"".",shopping,Memory,L5,shopping_product_004,write_review,memory_L5_tracked_locator_ranking_or_recent,1,not_executed
task_0046,"In the forum, find the post whose post id is 17589. Edit the post body so it contains ""monthly budget"".",forum,Memory,L1,forum_post_023,edit_post,memory_L1_lookup_direct_ref,1,not_executed
task_0048,"In the forum, find the post whose post id is 124043. Edit the post body so it contains ""family friendly"".",forum,Memory,L2,forum_post_019,edit_post,memory_L2_lookup_single_condition,1,not_executed
task_0050,"In the forum, find the post whose post id is 17445 and whose title is AI ethics discussion. Add a comment containing ""strongly agree with this advice"".",forum,Memory,L3,forum_post_022,comment_post,memory_L3_lookup_multi_condition,1,not_executed
task_0052,"In the forum, find the post whose title is science breakthrough news and whose community is Art. Edit the post body so it contains ""personal experience"".",forum,Memory,L4,forum_post_011,edit_post,memory_L4_tracked_locator_multi_condition,1,not_executed
task_0057,"In the forum, find the post whose post id is 10050 and whose title is best local restaurants and whose community is Art. Edit the post body so it contains ""affordable options"".",forum,Memory,L5,forum_post_002,edit_post,memory_L5_tracked_locator_exclusion_condition,1,not_executed
task_0059,"In the CMS admin, find the page whose url key is privacy-policy. Edit the page body so it contains ""size guide for all product categories"".",cms_admin,Memory,L1,cms_page_004,edit_page,memory_L1_lookup_direct_ref,1,not_executed
task_0061,"In the CMS admin, find the page whose status is draft. Edit the page body so it contains ""contact customer support at help desk"".",cms_admin,Memory,L2,cms_page_008,edit_page,memory_L2_lookup_single_condition,1,not_executed
task_0063,"In the CMS admin, find the page whose status is published and whose page title is terms and conditions. Create a page with a title containing ""shipping updates"" and a body containing ""new store hours starting next month"".",cms_admin,Memory,L3,cms_page_005,create_page,memory_L3_lookup_multi_condition,1,not_executed
task_0065,"In the CMS admin, find the page whose page title is customer testimonials and whose content type is cms_block. Edit the page body so it contains ""30-day return window"". Publish the page.",cms_admin,Memory,L4,cms_page_009,edit_and_publish_page,memory_L4_tracked_locator_exclusion_condition,2,not_executed
task_0067,"In the CMS admin, find the page whose status is published and whose page title is FAQ and whose content type is cms_page. Edit the page body so it contains ""contact customer support at help desk"".",cms_admin,Memory,L5,cms_page_010,edit_page,memory_L5_tracked_locator_exclusion_condition,1,not_executed
task_0069,"In GitLab, find the issue whose title is runner disk full. Reopen the issue.",gitlab,Long-horizon,L1,gitlab_issue_032,reopen_issue,long_horizon_L1_single_action_direct_ref,1,not_executed
task_0074,"In GitLab, find the issue whose title is container build timeout. Reopen the issue.",gitlab,Long-horizon,L2,gitlab_issue_031,reopen_issue,long_horizon_L2_single_action_direct_ref,1,not_executed
task_0079,"In GitLab, find the issue whose state is open and whose labels is help needed, flaky-test; then find the issue with IID 719. For the issue with state open: Add a comment containing ""added reproduction steps"". For the issue with state open: Add the ""performance"" label. For the issue with state open: Close the issue. For the issue #719: Reopen the issue. For the issue #719: Assign the issue to byteblaze.",gitlab,Long-horizon,L3,gitlab_issue_012,comment_label_close_issue,long_horizon_L3_two_step_chain_single_condition,5,not_executed
task_0084,"In GitLab, find the issue whose state is open and whose labels is priority::high, backend; then find the issue whose state is closed and whose labels is frontend. For the issue with state open: Add a comment containing ""requires security audit"". For the issue with state open: Add the ""bug"" label. For the issue with state open: Close the issue. For the issue with state closed: Reopen the issue. For the issue with state closed: Assign the issue to dev_alice.",gitlab,Long-horizon,L4,gitlab_issue_023,comment_label_close_issue,long_horizon_L4_two_step_chain_single_condition,5,not_executed
task_0089,"In GitLab, find the issue whose state is open and whose labels is help needed, flaky-test; then find the issue whose state is closed and whose labels is help needed; then find the issue with IID 1 and whose state is closed. For the issue with state open: Add a comment containing ""performance regression noted"". For the issue with state open: Assign the issue to byteblaze. For the issue with state open: Close the issue. For the issue with state closed: Reopen the issue. For the issue with state closed: Add a comment containing ""needs retry logic"". For the issue with state closed: Add the ""enhancement"" label. For the issue #1: Reopen the issue. For the issue #1: Add a comment containing ""needs regression test"". For the issue #1: Add the ""documentation"" label.",gitlab,Long-horizon,L5,gitlab_issue_012,comment_assign_close,long_horizon_L5_multi_action_chain_multi_condition,9,not_executed
task_0094,"In the shopping site, find the product variant whose product name is Aeon capri. Add it to the cart with quantity 1.",shopping,Long-horizon,L1,shopping_variant_019,add_to_cart,long_horizon_L1_single_action_direct_ref,1,not_executed
task_0097,"In the shopping site, find the product with SKU B07DFJ5XKH. Write a 4-star review containing ""fast shipping"".",shopping,Long-horizon,L2,shopping_product_003,write_review,long_horizon_L2_single_action_direct_ref,1,not_executed
task_0100,"In the shopping site, find the product whose category is office and whose product name is a TV stand; then find the product whose category is cell phones and whose product name is a mattress foundation. For the product named a TV stand: Add it to the cart with quantity 1. For the product named a TV stand: Write a 4-star review containing ""good value"". For the product named a mattress foundation: Add it to the cart with quantity 1. For the product named a mattress foundation: Write a 2-star review containing ""not as described"".",shopping,Long-horizon,L3,shopping_product_011,cart_and_review,long_horizon_L3_two_step_chain_single_condition,4,not_executed
task_0103,"In the shopping site, find the product whose category is cell phones and whose product name is Chloe tank; then find the product whose category is electronics and whose product name is chargers from Anker. For the product named Chloe tank: Add it to the cart with quantity 1. For the product named Chloe tank: Update the cart quantity to 2. For the product named Chloe tank: Write a 3-star review containing ""meets expectations"". For the product named chargers from Anker: Add it to the cart with quantity 1. For the product named chargers from Anker: Update the cart quantity to 5. For the product named chargers from Anker: Write a 3-star review containing ""average performance"".",shopping,Long-horizon,L4,shopping_product_033,cart_update_review,long_horizon_L4_two_step_chain_single_condition,6,not_executed
task_0106,"In the shopping site, find the product whose category is electronics and whose product name is chargers from Anker; then find the product with SKU B07HZB38XH and whose category is grocery; then find the product whose category is video games and whose product name is blue Cronus yoga pants with size 33. For the product named chargers from Anker: Add it to the cart with quantity 1. For the product named chargers from Anker: Write a 1-star review containing ""would not recommend"". For the product named chargers from Anker: Remove it from the cart. For the product with sku B07HZB38XH: Add it to the cart with quantity 1. For the product with sku B07HZB38XH: Update the cart quantity to 5. For the product with sku B07HZB38XH: Write a 2-star review containing ""below average durability"". For the product named blue Cronus yoga pants with size 33: Add it to the cart with quantity 1. For the product named blue Cronus yoga pants with size 33: Update the cart quantity to 3. For the product named blue Cronus yoga pants with size 33: Write a 4-star review containing ""good value"".",shopping,Long-horizon,L5,shopping_product_032,add_review_remove,long_horizon_L5_multi_action_chain_multi_condition,8,not_executed
task_0109,"In the forum, find the post whose post id is 38271. Add a comment containing ""this is outdated information"".",forum,Long-horizon,L1,forum_post_024,comment_post,long_horizon_L1_single_action_direct_ref,1,not_executed
task_0111,"In the forum, find the community whose community name is wallstreetbets. Create a post with a title containing ""local concert venues"" and a body containing ""any suggestions appreciated"".",forum,Long-horizon,L2,forum_community_010,create_post,long_horizon_L2_single_action_direct_ref,1,not_executed
task_0113,"In the forum, find the post whose community is Art; then find the community whose community name is gadgets. For the post with community Art: Create a post with a title containing ""remote work spaces"" and a body containing ""family friendly"". For the post with community Art: Edit the post body so it contains ""family friendly"". For the community called gadgets: Create a post with a title containing ""bike commute routes"" and a body containing ""monthly budget"". For the community called gadgets: Add a comment containing ""I can confirm this still works"".",forum,Long-horizon,L3,forum_post_015,create_and_edit_post,long_horizon_L3_two_step_chain_multi_condition,4,not_executed
task_0115,"In the forum, find the post whose community is Art; then find the post whose post id is 30905. For the post with community Art: Create a post with a title containing ""local concert venues"" and a body containing ""any suggestions appreciated"". For the post with community Art: Edit the post body so it contains ""any suggestions appreciated"". For the post with post id 30905: Create a post with a title containing ""best coffee shops"" and a body containing ""any suggestions appreciated"". For the post with post id 30905: Edit the post body so it contains ""any suggestions appreciated"".",forum,Long-horizon,L4,forum_post_005,create_and_edit_post,long_horizon_L4_two_step_chain_multi_condition,4,not_executed
task_0117,"In the forum, find the post whose post id is 103061 and whose title is cooking recipe exchange; then find the post whose title is fitness routine sharing and whose community is Art; then find the post whose post id is 10121 and whose title is affordable housing tips. For the post titled cooking recipe exchange: Create a post with a title containing ""bike commute routes"" and a body containing ""looking for recommendations"". For the post titled cooking recipe exchange: Add a comment containing ""prices have changed since then"". For the post titled cooking recipe exchange: Edit the post body so it contains ""looking for recommendations"". For the post titled fitness routine sharing: Create a post with a title containing ""local concert venues"" and a body containing ""parking cost"". For the post titled fitness routine sharing: Add a comment containing ""I had a similar experience"". For the post titled fitness routine sharing: Edit the post body so it contains ""parking cost"". For the post titled affordable housing tips: Create a post with a title containing ""car in NYC"" and a body containing ""public transit"". For the post titled affordable housing tips: Add a comment containing ""adding my recommendation as well"". For the post titled affordable housing tips: Edit the post body so it contains ""public transit"".",forum,Long-horizon,L5,forum_post_017,create_comment_edit,long_horizon_L5_multi_action_chain_exclusion_condition,9,not_executed
task_0119,"In the CMS admin, find the page whose page title is holiday sale banner. Create a page with a title containing ""customer support"" and a body containing ""updated privacy policy effective immediately"".",cms_admin,Long-horizon,L1,cms_page_007,create_page,long_horizon_L1_single_action_direct_ref,1,not_executed
task_0121,"In the CMS admin, find the page whose page title is contact us. Edit the page body so it contains ""holiday sale terms and conditions"".",cms_admin,Long-horizon,L2,cms_page_006,edit_page,long_horizon_L2_single_action_direct_ref,1,not_executed
task_0123,"In the CMS admin, find the page whose status is published and whose page title is terms and conditions; then find the page whose status is draft and whose page title is new arrivals promo. For the page titled terms and conditions: Create a page with a title containing ""international shipping"" and a body containing ""size guide for all product categories"". For the page titled terms and conditions: Publish the page. For the page titled new arrivals promo: Edit the page body so it contains ""warranty coverage details"". For the page titled new arrivals promo: Publish the page.",cms_admin,Long-horizon,L3,cms_page_005,create_and_publish_page,long_horizon_L3_two_step_chain_multi_condition,4,not_executed
task_0125,"In the CMS admin, find the page whose page title is contact us; then find the page whose page title is shipping information. For the page titled contact us: Edit the page body so it contains ""international shipping restrictions apply"". For the page titled contact us: Publish the page. For the page titled shipping information: Create a page with a title containing ""privacy notice"" and a body containing ""holiday sale terms and conditions"". For the page titled shipping information: Publish the page.",cms_admin,Long-horizon,L4,cms_page_006,edit_and_publish_page,long_horizon_L4_two_step_chain_direct_ref,4,not_executed
task_0003,"In GitLab, find the issue with IID 719. Add a comment containing ""backend ownership confirmed"".",gitlab,Memory,L1,gitlab_issue_002,comment_issue,memory_L1_lookup_direct_ref,1,not_executed
task_0008,"In GitLab, find the issue whose state is closed. Add a comment containing ""triaged for backend team"".",gitlab,Memory,L2,gitlab_issue_019,comment_issue,memory_L2_lookup_single_condition,1,not_executed
task_0013,"In GitLab, find the issue whose state is closed and whose labels is testing, priority::high. Assign the issue to qa_bob.",gitlab,Memory,L3,gitlab_issue_027,assign_issue,memory_L3_lookup_multi_condition,1,not_executed
task_0018,"In GitLab, find the issue whose state is open and whose labels is backend, security. Add a comment containing ""triaged for backend team"".",gitlab,Memory,L4,gitlab_issue_018,comment_issue,memory_L4_tracked_locator_multi_condition,1,not_executed
task_0023,"In GitLab, find the issue whose title is docs out of date and whose state is closed and whose milestone is sprint-12. Add a comment containing ""please add checkout monitoring"".",gitlab,Memory,L5,gitlab_issue_024,comment_issue,memory_L5_tracked_locator_ranking_or_recent,1,not_executed
task_0030,"In the shopping site, find the product whose product name is floor lamp. Write a 2-star review containing ""not as described"".",shopping,Memory,L1,shopping_product_002,write_review,memory_L1_lookup_direct_ref,1,not_executed
task_0033,"In the shopping site, find the product variant whose product name is Aeon capri. Update the cart quantity to 3.",shopping,Memory,L2,shopping_variant_019,update_cart_quantity,memory_L2_lookup_single_condition,1,not_executed
task_0036,"In the shopping site, find the product variant whose product name is a cat t-shirt and whose size is L and whose color is green. Add it to the cart with quantity 1.",shopping,Memory,L3,shopping_variant_010,add_to_cart,memory_L3_lookup_multi_condition,1,not_executed
task_0039,"In the shopping site, find the product whose category is office and whose product name is Clamber Watch. Write a 5-star review containing ""excellent quality"".",shopping,Memory,L4,shopping_product_038,write_review,memory_L4_tracked_locator_exclusion_condition,1,not_executed
task_0044,"In the shopping site, find the product with has reviews set to true and whose product name is Chloe tank and whose category is cell phones. Write a 5-star review containing ""excellent quality"".",shopping,Memory,L5,shopping_product_033,write_review,memory_L5_tracked_locator_ranking_or_recent,1,not_executed
task_0070,"In GitLab, find the issue whose title is pagination off-by-one. Reopen the issue.",gitlab,Long-horizon,L1,gitlab_issue_014,reopen_issue,long_horizon_L1_single_action_direct_ref,1,not_executed
task_0075,"In GitLab, find the issue whose title is caching invalidation. Close the issue.",gitlab,Long-horizon,L2,gitlab_issue_017,close_issue,long_horizon_L2_single_action_direct_ref,1,not_executed
